Year,State,Rate
1978,Australian Capital Territory,6.864
1978,New South Wales,6.273
1978,Northern Territory,5.455
1978,Queensland,7.073
1978,South Australia,7.1
1978,Tasmania,6.4
1978,Victoria,5.509
1978,Western Australia,6.573
1979,Australian Capital Territory,7.217
1979,New South Wales,5.983
1979,Northern Territory,5.392
1979,Queensland,6.592
1979,South Australia,7.467
1979,Tasmania,6.292
1979,Victoria,5.7
1979,Western Australia,7.35
1980,Australian Capital Territory,5.967
1980,New South Wales,5.592
1980,Northern Territory,3.717
1980,Queensland,6.5
1980,South Australia,7.85
1980,Tasmania,6.292
1980,Victoria,5.883
1980,Western Australia,6.35
1981,Australian Capital Territory,5.95
1981,New South Wales,5.225
1981,Northern Territory,4.742
1981,Queensland,5.783
1981,South Australia,7.792
1981,Tasmania,6.975
1981,Victoria,5.65
1981,Western Australia,6.042
1982,Australian Capital Territory,7.1
1982,New South Wales,7.142
1982,Northern Territory,6.108
1982,Queensland,6.833
1982,South Australia,8.283
1982,Tasmania,9.575
1982,Victoria,6.608
1982,Western Australia,7.642
1983,Australian Capital Territory,7.358
1983,New South Wales,10.708
1983,Northern Territory,7.017
1983,Queensland,10.1
1983,South Australia,10.675
1983,Tasmania,10.65
1983,Victoria,9.017
1983,Western Australia,9.842
1984,Australian Capital Territory,5.542
1984,New South Wales,9.333
1984,Northern Territory,7.708
1984,Queensland,9.733
1984,South Australia,9.683
1984,Tasmania,10.15
1984,Victoria,7.725
1984,Western Australia,9.442
1985,Australian Capital Territory,4.917
1985,New South Wales,8.733
1985,Northern Territory,7.2
1985,Queensland,9.608
1985,South Australia,8.708
1985,Tasmania,9.0
1985,Victoria,6.867
1985,Western Australia,8.075
1986,Australian Capital Territory,4.983
1986,New South Wales,8.458
1986,Northern Territory,6.642
1986,Queensland,9.45
1986,South Australia,8.642
1986,Tasmania,8.933
1986,Victoria,6.733
1986,Western Australia,7.917
1987,Australian Capital Territory,5.775
1987,New South Wales,8.592
1987,Northern Territory,7.817
1987,Queensland,9.767
1987,South Australia,9.0
1987,Tasmania,9.375
1987,Victoria,6.267
1987,Western Australia,7.758
1988,Australian Capital Territory,5.067
1988,New South Wales,7.292
1988,Northern Territory,8.75
1988,Queensland,8.25
1988,South Australia,8.567
